date,title,header,medium,country,link
02/12/2022,Muss Google zittern? Künstliche Intelligenz schreibt wie ein Mensch,Chatten wie mit einem Menschen – das verspricht die künstliche Intelligenz von OpenAI.,Bild,Germany,https://www.bild.de/digital/2022/digital/muss-google-zittern-kuenstliche-intelligenz-schreibt-wie-ein-mensch-82129948.bild.html
29/12/2022,Google löst wegen Chat-Konkurrenz ChatGPT „roten Alarm“ aus,"Knapp vier Wochen nach dem Start des Chat-Bots ChatGPT, der mithilfe künstlicher Intelligenz (KI) die Fragen seiner Nutzer beantwortet, wurde bei Google ein „roter Alarm“ ausgelöst, wie die „New York Times“ berichtet. Es gebe die Sorge, dass ChatGPT mit seiner enorm leistungsfähigen Technologie das Geschäft des Internetgiganten gefährden könnte.",Bild,Germany,https://www.bild.de/digital/internet/internet/google-loest-wegen-chat-konkurrenz-chatgpt-roten-alarm-aus-82386520.bild.html
30/01/2023,"„Kann sein, dass ChatGPT lügt“ - Künstliche Intelligenz schreibt betrügerische E-Mails und Einbruch-Anleitung","Der Hype um den von der US-Firma OpenAI entwickelten Text-Roboter ChatGPT, ist gigantisch:  Die Sprachsoftware mit künstlicher Intelligenz (KI) kann unter anderem in hoher Sprachpräzision Reden ausarbeiten und Geschichten erzählen - in Sekundenschnelle.",Bild,Germany,https://www.bild.de/regional/frankfurt/frankfurt-aktuell/darmstadt-text-roboter-im-test-kann-sein-dass-chatgpt-luegt-82726166.bild.html
31/01/2023,Mit diesen Aktien profitieren Sie vom Megatrend KI,"Die besten Aktien-Tipps zum neuen Boom bei der Künstlicher Intelligenz, Risiken und weitere Hintergrund-Infos – mit BILDplus.",Bild,Germany,https://www.bild.de/bild-plus/geld/mein-geld/leben-und-sparen/kuenstliche-intelligenz-ki-mit-diesen-aktien-macht-sie-der-megatrend-reich-82699334.bild.html
03/02/2023,ChatGPT wird kostenpflichtig mit Folgen für deutsche Nutzer,"Zunächst in den USA führt CEO Altman jetzt eine Bezahlschranke für die bislang kostenfreie Software ein. Eine Gratis-Version des Chatbots bleibt jedoch weiterhin verfügbar. Abonnenten erhalten für 20 Dollar im Monat auch bei hoher Auslastung der Server vorrangig Zugang zur Software, können zudem mit beschleunigten Ergebnissen rechnen. Auch von Softwareupdates profitieren Abonnenten künftig bevorzugt.",Bild,Germany,https://www.bild.de/geld/wirtschaft/wirtschaft/100-millionen-nutzer-in-drei-monaten-jetzt-wird-chatgtp-kostenpflichtig-82771462.bild.html
05/02/2023,Experten bemerkten nichts: Künstliche Intelligenz legt Jury rein und gewinnt Fotopreis,"Vergangene Mittwoch präsentierte Digidirect, ein grosser Fotografie-Fachhandel aus Australien, den Gewinner seines bekannten Fotowettbewerbs. Es scheint, als hätte Jan van Eyck, Einsender des Bildes, wirklich den perfekten Schnappschuss gemacht.",Bild,Germany,https://www.bild.de/news/ausland/news-ausland/experten-bemerkten-nichts-kuenstliche-intelligenz-legt-jury-rein-und-gewinnt-fot-82795276.bild.html
08/02/2023,ChatGBT für Bing: Microsoft greift Google mit Suchmaschinen-KI an,Statt Links sollen Suchmaschinen künftig Antworten in ganzen Sätzen liefern. Möglich macht das eine künstliche Intelligenz (KI) in Textmaschinen.,Bild,Germany,https://www.bild.de/digital/2023/digital/chatgbt-fuer-bing-microsoft-greift-google-mit-suchmaschinen-ki-an-82829390.bild.html
11/02/2023,Abi nicht geschafft: Wie clever ist künstliche Intelligenz wirklich,"Noch ist künstliche Intelligenz (KI) nicht schlau genug für das deutsche Abi. Angesetzt auf die bayerischen Abiturprüfungen, fiel die KI ChatGPT ausgerechnet in der Textanalyse krachend durch – zu viel Geschwafel, zu wenig Inhalt. Das Examen für angehende Mediziner in den USA würde die KI allerdings bestehen, berichten kalifornische Wissenschaftler.",Bild,Germany,https://www.bild.de/ratgeber/2023/ratgeber/abi-nicht-geschafft-wie-clever-ist-kuenstliche-intelligenz-wirklich-82857584.bild.html
01/03/2023,"Künstliche Intelligenz sagt, wie der Krieg enden kann","Bild fragte die künstliche Intelligenz, wann der Krieg endet, wie er ausgeht und ob Kreml-Diktator Wladimir Putin überleben wird. Lesen Sie die faszinierende Analyse nur mit BILDplus!",Bild,Germany,https://www.bild.de/bild-plus/politik/ausland/politik-inland/russland-vs-ukraine-kuenstliche-intelligenz-sagt-wie-der-krieg-enden-kann-83065722.bild.html
12/03/2023,Kohle machen mit Künstlicher Intelligenz - Jeder kann sie nutzen - Man muss kein Experte sein,Jeder kann es nutzen. Man muss kein Experte sein. Lesen Sie den Bericht jetzt nur mit BILDplus!,Bild,Germany,https://www.bild.de/bild-plus/geld/wirtschaft/politik-inland/kostenlose-programme-geld-verdienen-und-sparen-mit-kuenstlicher-intelligenz-83115246.bild.html
14/03/2023,Mira Murati: ChatGPT kennt CTO von OpenAI nicht,"Entwickelt wurde ChatGPT von einer der führenden KI-Firmen in den USA, OpenAI. Einer der klugen Köpfe dahinter: Mira Murati. Sie ist Chief Technology Officer (CTO) bei",Bild,Germany,https://www.bild.de/unterhaltung/leute/digital/mira-murati-chatgpt-kennt-cto-von-openai-nicht-83198824.bild.html
14/03/2023,Post von Wagner: Betrifft: künstliche Intelligenz (KI),"Es gibt Freunde, die mich fragen, ob ich keine Angst habe, dass demnächst KI „Post von Wagner“ schreibt. Nein, sage ich und verweise auf den Versuch, Beethovens 10. Sinfonie, „Die Unvollendete“, mithilfe von KI zu vollenden.",Bild,Germany,https://www.bild.de/politik/kolumnen/franz-josef-wagner/post-von-wagner-betrifft-kuenstliche-intelligenz-ki-83209208.bild.html
