date,title,header,medium,country,link
23/08/2023,Das Wettrennen um die nächste KI-Generation,"ChatGPT elektrisiert die digitale Welt. Das ruft eine Reihe neuer Spieler auf den Plan – doch auch die alten Tech-Giganten schlafen nicht. Derweil legen die Aktien von Meta, Tesla und Spotify und wieder zu.",Frankfurter Allgemeine,Germany,https://www.faz.net/premiumContent?contentId=1.9053215
22/08/2023,Universal Music und Youtube starten KI-Kooperation,"Eine Gruppe um Abba-Songwriter Björn Ulvaeus, den Rapper Yo Gotti und auch die Nachlassverwalter von Frank Sinatra sollen mit Tools experimentieren. Abseits rechtlicher Probleme verspricht sich die Musikindustrie viel von KI.",Frankfurter Allgemeine,Germany,https://www.faz.net/premiumContent?contentId=1.9120014
16/08/2023,Anforderungen an KI-Kompetenz steigen rasant,"Für Jobs werden immer häufiger auch Kenntnisse in generativer KI verlangt. Dies gilt für IT-Jobs natürlich in besonderem Maße, aber auch Positionen im Personal, dem Marketing und der Forschung setzen zunehmend Fähigkeiten im Umgang mit generativer KI voraus, zeigt eine Umfrage des Branchenverbandes DGFP.",Frankfurter Allgemeine,Germany,https://www.faz.net/premiumContent?contentId=1.9108322
16/08/2023,Nutzung generativer KI steigt explosionsartig,"Generative KI ist nach der wilden Experimentierphase nun in die Implementierungsphase eingetreten: Unternehmen in aller Welt arbeiten daran, produktive Einsatzfelder zu identifizieren und die neue Technik einzuführen.",Frankfurter Allgemeine,Germany,https://www.faz.net/premiumContent?contentId=1.9107909
15/08/2023,Mehr Künstliche Intelligenz in hessischen Behörden,"Auch Hessen will den Einsatz von Künstlicher Intelligenz in Landesverwaltungen ausweiten, nach dem Vorbild  eines Stuttgarter Pilotprojekts. In Gerichten etwa wird sie längst genutzt.",Frankfurter Allgemeine,Germany,https://www.faz.net/premiumContent?contentId=1.9103853
13/08/2023,Rhein-Main will zur Hochburg für KI werden,"Um sich für die Zukunft zu rüsten, setzen viele hessische Unternehmen auf Künstliche Intelligenz. Gerade im Rhein-Main-Gebiet geht das KI-Fieber um.",Frankfurter Allgemeine,Germany,https://www.faz.net/suche/rhein-main-hochburg-fuer-kuenstliche-intelligenz-19088228.html
07/08/2023,Deutsche Unternehmen gegenüber generativer KI skeptisch,"Den Großteil der Welt hat KI schon überzeugt – nur in Deutschland hegt die Industrie noch Zweifel, ob sie hält, was sie verspricht. Dabei zeigen sich auch deutliche Unterschiede, wofür verschiedene Unternehmen KI nutzen würden.",Frankfurter Allgemeine,Germany,https://www.faz.net/premiumContent?contentId=1.9083623
07/08/2023,Generative KI ist für die meisten Führungskräfte die wichtigste Technologie,"Der Großteil von Führungskräften glaubt, dass generative KI ihr Unternehmen in den nächsten Jahren am meisten transformieren wird. Momentan fehlen dazu vielerorts jedoch noch die Voraussetzungen.",Frankfurter Allgemeine,Germany,https://www.faz.net/premiumContent?contentId=1.9083621
06/08/2023,Im Zweifel Fake,"Auch das bekannte Bildbearbeitungsprogramm Photoshop setzt künftig auf KI. Und auf eine neue Initiative für den Umgang mit digitalen Werken, die erkennbar machen soll, ob und wo künstliche Intelligenz im Spiel war.",Frankfurter Allgemeine,Germany,https://www.faz.net/premiumContent?contentId=1.9078543
06/08/2023,Die Auslöschung der Wahrheit,"Selenskyjs Kapitulation, eine Explosion am Pentagon: Täuschend echt wirkende Fotos und Videos, erstellt mit Künstlicher Intelligenz, erschüttern das Vertrauen in Informationen. Kann die Politik dem Einhalt gebieten?",Frankfurter Allgemeine,Germany,https://www.faz.net/suche/ki-und-desinformation-die-ausloeschung-der-wahrheit-19081412.html
31/07/2023,HPE springt auf den KI-Zug auf,Der Technologiekonzern Hewlett Packard Enterprises will mit seinen Supercomputern breiteren Zugang zu KI-Systemen ermöglichen. Dabei soll auch die Partnerschaft mit dem deutschen Unternehmen mit Aleph Alpha helfen.,Frankfurter Allgemeine,Germany,https://www.faz.net/suche/kuenstliche-intelligenz-hewlett-packard-enterprises-springt-auf-den-ki-zug-19069498.html
31/07/2023,Werden Dialekte jetzt unsterblich?,In zwei Wochen die Mundart der eigenen Urgroßeltern lernen – könnten sich Künstliche Intelligenzen wie ChatGPT mit dieser Anwendung nicht nützlich machen? Eine Umfrage unter Fachleuten.,Frankfurter Allgemeine,Germany,https://www.faz.net/suche/chatgpt-lernt-koelsch-werden-dialekte-jetzt-unsterblich-19068772.html
28/07/2023,In der Amtsstube textet schon bald der Vermerkomat,Beamte in Baden-Württemberg sollen Standardtätigkeiten künftig der Software überlassen. Damit will die Landesregierung dem zunehmenden Personalmangel begegnen.,Frankfurter Allgemeine,Germany,https://www.faz.net/suche/baden-wuerttemberg-kuenstliche-intelligenz-soll-personalmangel-bekaempfen-19057604.html
