date,title,header,medium,country,link
04/09/2023,KI mit sozialistischen Werten,Die USA wollten Peking den Zugang zu modernen Halbleitern verbauen. Jetzt ist trotzdem die chinesische Antwort auf Chat-GPT da - und Huawei hat ein neues Hochleistungshandy herausgebracht. Wirken die Sanktionen überhaupt?,Süddeutsche,Germany,https://www.sueddeutsche.de/wirtschaft/china-1.6193471
04/09/2023,Der Wahrheit auf der Spur,"Gefälschte Bilder und gezielte Desinformation: Das Phänomen der Fake News greift um sich und verunsichert viele Nutzer im Internet. Wie man sie als solche entlarven kann, erklärte Journalistin Alexandra Haderlein während eines Online-Workshops des Kreisjugendrings in Freising.",Süddeutsche,Germany,https://www.sueddeutsche.de/muenchen/freising/freising-fake-news-desinformation-kreisjugendring-1.6193530
04/09/2023,Conti schließt Partnerschaft mit Google für KI-Entwicklung,"München (dpa) - Der Zulieferer Continental arbeitet beim Thema Künstliche Intelligenz (KI) künftig mit Google zusammen. ""Zusammen mit Google bringen wir Künstliche Intelligenz ins Fahrzeugcockpit"", sagte der Chef von Continental",Süddeutsche,Germany,https://www.sueddeutsche.de/auto-mobil/auto-muenchen-conti-schliesst-partnerschaft-mit-google-fuer-ki-entwicklung-dpa.urn-newsml-dpa-com-20090101-230904-99-68307
04/09/2023,Google wird 25: Kann ChatGPT die Dominanz in Frage stellen?,"Mountain View (dpa) - Seit rund einem Vierteljahrhundert beginnen Wege durchs Web für viele Internet-Nutzer tagtäglich mit einer kleinen Box auf dem Bildschirm, in die sie wenige Worte eintippen. Das",Süddeutsche,Germany,https://www.sueddeutsche.de/wirtschaft/internet-google-wird-25-kann-chatgpt-die-dominanz-in-frage-stellen-dpa.urn-newsml-dpa-com-20090101-230903-99-59446
04/09/2023,Industrie warnt: Deutschland als Auto-Standort in Gefahr,"Deutschland gilt als Autoland - doch die Industrie warnt, dass andere Standorte im Wettbewerb um Investitionen attraktiver werden. Unter anderem die Strompreise seien ein Problem. Zugleich sehen Autobauer und Tech-Branche Chancen durch neue Technologien wie KI.",Süddeutsche,Germany,https://www.sueddeutsche.de/panorama/industrie-warnt-deutschland-als-auto-standort-in-gefahr-1.6192791
03/09/2023,"Mach mal sauber, Roboter",Selbstfahrende Staubsauger verkaufen sich gut. Mittlerweile können sie auch feucht wischen. Sensoren und künstliche Intelligenz sollen sie zu nahezu perfekten Haushaltshilfen machen. ,Süddeutsche,Germany,https://www.sueddeutsche.de/wirtschaft/saugroboter-ifa-saugwisch-roboter-1.6190214
01/09/2023,Aleph Alpha wird Partner von KI-Zentrum in Heilbronn,"Heilbronn (dpa/lsw) - Das Heidelberger KI-Unternehmen Aleph Alpha wird neuer Partner des Innovationsparks Künstliche Intelligenz (Ipai) in Heilbronn. Mit dem Bündnis wolle man erreichen, ""selbstbestimmt und souverän die Entwicklung von",Süddeutsche,Germany,https://www.sueddeutsche.de/wissen/forschung-heilbronn-aleph-alpha-wird-partner-von-ki-zentrum-in-heilbronn-dpa.urn-newsml-dpa-com-20090101-230828-99-987655
31/08/2023,KI soll im Schwimmbad beim Retten Ertrinkender helfen,Freudenstadt (dpa) - Mit Hilfe von Videokameras und Künstlicher Intelligenz (KI) in Schwimmbädern sollen Retter bei Notfällen schneller eingreifen können und zum Beispiel Menschen vor dem Ertrinken bewahren.,Süddeutsche,Germany,https://www.sueddeutsche.de/panorama/freizeit-ki-soll-im-schwimmbad-beim-retten-ertrinkender-helfen-dpa.urn-newsml-dpa-com-20090101-230831-99-23045
30/08/2023,Kunst und KI,Podiumsdiskussion des Künstlerverbunds im Haus der Kunst über die Verbindung von Ästhetik und Technik,Süddeutsche,Germany,https://www.sueddeutsche.de/muenchen/ki-resetnow-kuenstlerverbund-haus-der-kunst-ausstellung-1.6177850
30/08/2023,Koalition will KI-Anwendungen in Verwaltung möglich machen,Meseberg (dpa) - Die Bundesregierung will in den kommenden zwei Jahren die technischen und rechtlichen Voraussetzungen für den Einsatz von KI-Anwendungen in der Verwaltung schaffen. Das geht aus der neuen,Süddeutsche,Germany,https://www.sueddeutsche.de/politik/bundesregierung-koalition-will-ki-anwendungen-in-verwaltung-moeglich-machen-dpa.urn-newsml-dpa-com-20090101-230830-99-07191
