date,title,header,medium,country,link
14/03/2023,A brake on innovation: SVB's failure poses serious challenge for America's tech economy,"The SVB crisis involves red and blue states, and the whole American workforce as much as tech workers. Effects would be felt beyond Silicon Valley.",USA Today,USA,https://www.usatoday.com/story/opinion/2023/03/14/silicon-valley-bank-collapse-threatens-us-tech-economy/11469349002/
24/02/2023,A robot behind the turntable? New Spotify DJ tool uses AI to spin personalized mixes,"Similar to a radio DJ, the feature offers short commentary alongside the music.",USA Today,USA,https://www.usatoday.com/story/tech/2023/02/22/spotify-introduces-new-ai-dj-tool/11324917002/
06/07/2023,AI ChatGPT-powered smart toys are coming for the holidays. How to keep your kids safe,Think Furbys with AI. A slew of ChatGPT-powered toys are on the way this holiday shopping season. How parents can protect their kids' privacy.,USA Today,USA,https://www.usatoday.com/story/tech/columnist/komando/2023/07/06/ai-toys-kids-parents/70374598007/
06/06/2023,AI Disruption in Finance: Ahmed Reza’s Vision for the Future,"Now, with generative AI models taking the technology to a new level, the financial implications of AI are bigger than ever.",USA Today,USA,https://www.usatoday.com/story/special/contributor-content/2023/06/06/ai-disruption-in-finance-ahmed-rezas-vision-for-the-future/70293859007/
26/04/2023,AI in HR goes mainstream: Could AI help you get your next job?,Could AI help you get your next job?,USA Today,USA,https://www.usatoday.com/story/news/2023/04/23/ai-hr-goes-mainstream-could-ai-help-you-get-your-next-job/11718929002/
14/04/2023,"AI is no Shakespeare. Why ChatGPT, other tools are unlikely to take your writing job","For all its early well-documented blunders, AI will change a host of white collar professions.",USA Today,USA,https://www.usatoday.com/story/tech/2023/04/14/ai-chatgpt-wont-replace-writers/11666237002/
01/06/2023,"AI poses risk of extinction, tech leaders warn in open letter. Here's why alarm is spreading",Hundreds of scientists and technology executives are warning that AI could become as big a threat as nuclear war or a COVID-like pandemic.,USA Today,USA,https://www.usatoday.com/story/news/politics/2023/05/31/ai-extinction-risk-expert-warning/70270171007/
10/01/2023,"AI that supports workers, rather than replace them",XSELL CEO Matt Coughlin shares the idea behind AI “cobots” that support customer service.,USA Today,USA,https://www.usatoday.com/story/sponsor-story/establish-pr/2023/01/10/ai-supports-workers-rather-than-replace-them/11001696002/
26/07/2023,"AI, automation could kill your job sooner than thought. How COVID sped things up.","Due to COVID, automation and generative AI are likely to eliminate jobs sooner than expected. Another 12M workers are likely to switch fields by 2030.",USA Today,USA,https://www.usatoday.com/story/money/2023/07/26/automation-destroy-jobs-faster-pandemic/70464006007/
09/05/2023,"AI, self-service are taking over travel. Will everything become a DIY experience?","Automation may support basic travel bookings, but observers say it has yet to prove itself when it comes to fixing some problems.",USA Today,USA,https://www.usatoday.com/story/travel/columnist/2023/05/05/travel-self-service-too-far/70183601007/
