date,title,header,medium,country,link
03/04/2023,"Paparazzi Photos Were Scourge of Celebrities. Now, It’s AI.",A fabricated image of Pope Francis wearing a fashionable white puffer was a funny viral moment for many. But artificial-intelligence experts say its implications are no laughing matter.,Wall Street Journal,USA,https://www.wsj.com/articles/ai-photos-pope-francis-celebrities-dfb61f1d
20/04/2023,‘Hallucination’: When Chatbots (and People) See What Isn’t There,A Latin term for mental wandering was applied to the disorienting effects of psychological disorders and drug use—and then to the misfires of AI programs,Wall Street Journal,USA,https://www.wsj.com/articles/hallucination-when-chatbots-and-people-see-what-isnt-there-91c6c88b
31/01/2023,Opinion: Only Bad Writers Should Fear ChatGPT,A lot of what we read is terrible. How could the robots do worse?,Wall Street Journal,USA,https://www.wsj.com/articles/only-bad-writers-should-fear-chatgpt-technology-robots-artificial-intelligence-education-journalism-11675201758
07/06/2023,Opinion: Artificial Intelligence Still Not Smart Enough,A much-discussed tool appears useful for creating fake news and new bureaucracies.,Wall Street Journal,USA,https://www.wsj.com/articles/artificial-intelligence-still-not-smart-enough-dd7360f2
15/10/2022,Meet the Army of Robots Coming to Fill In for Scarce Workers,"A new wave of robots is arriving—and, in a world short of workers, business leaders are more eager to welcome them than ever.",Wall Street Journal,USA,https://www.wsj.com/articles/meet-the-army-of-robots-coming-to-fill-in-for-scarce-workers-11665806451
29/06/2023,Big Tech’s Battle Royale Is Coming. The Winner? You.,A possible cage fight between billionaire social-media bosses is a symbol of the heated competition in the new AI age,Wall Street Journal,USA,https://www.wsj.com/articles/beyond-musk-vs-zuck-how-the-big-tech-rivalries-are-shifting-7430185e
07/05/2023,Opinion: Ignore the Hysteria on AI and Jobs,A study found that 60% of employment in 2018 was in roles that didn’t exist in 1940.,Wall Street Journal,USA,https://www.wsj.com/articles/ignore-the-hysteria-on-ai-and-jobs-chatgpt-automation-workforce-tech-innovation-51b3d994
22/03/2023,Gates Says AI Is Most Revolutionary Technology in Decades,"‘Entire industries will reorient around it,’ the Microsoft co-founder says",Wall Street Journal,USA,https://www.wsj.com/articles/bill-gates-says-artificial-intelligence-is-the-most-revolutionary-technology-in-decades-75fb8562
10/02/2023,ChatGPT Needs Some Help With Math Assignments,‘Large language models’ supply grammatically correct answers but struggle with calculations,Wall Street Journal,USA,https://www.wsj.com/articles/ai-bot-chatgpt-needs-some-help-with-math-assignments-11675390552
15/03/2023,China’s AI Chatbots Clam Up When Asked About Xi Jinping’s Leadership,"‘The question couldn’t pass a safety review’; American politics are off limits, too",Wall Street Journal,USA,https://www.wsj.com/articles/when-chatbots-run-up-against-chinas-censorship-f7ee1cea
29/06/2023,People Hire Phone Bots to Torture Telemarketers,"“Whitey” Whitebeard answered the phone last month, and a recorded female voice warned that it was his last chance to deal with important changes to his Bank of America account.",Wall Street Journal,USA,https://www.wsj.com/articles/people-hire-phone-bots-to-torture-telemarketers-2dbb8457
28/03/2023,The Jobs Most Exposed to ChatGPT,"Accountants are among the professionals whose careers are most exposed to the capabilities of generative artificial intelligence, according to a new study. The researchers found that at least half of accounting tasks could be completed much faster with the technology.",Wall Street Journal,USA,https://www.wsj.com/articles/the-jobs-most-exposed-to-chatgpt-e7ceebf0
26/04/2023,Meta Is Mostly Back in the Facebook Business,"Ad recovery and cost cuts make for strong results, though VR losses still a drag",Wall Street Journal,USA,https://www.wsj.com/articles/meta-is-mostly-back-in-the-facebook-business-2a37ef03
26/05/2023,Reality Is Broken. We Have AI Photos to Blame.,"Adobe Firefly, Midjourney, FaceApp and Try It On are leading AI’s crazy photo-software revolution",Wall Street Journal,USA,https://www.wsj.com/articles/reality-is-broken-we-have-ai-photos-to-blame-de00b23
07/02/2023,Omnicom CEO Wants to Embrace Generative AI as Quickly as Possible,Advertising giant is bullish on automation as it reports organic fourth-quarter revenue growth of 7.2%,Wall Street Journal,USA,https://www.wsj.com/articles/omnicom-ceo-wants-to-embrace-generative-ai-as-quickly-as-possible-11675822330
23/05/2023,"Social Media Could Pose ‘Profound Risk of Harm’ to Young People’s Mental Health, Surgeon General Warns","Advisory notes benefits of platforms, but urges action to limit any detrimental effects",Wall Street Journal,USA,https://www.wsj.com/articles/social-media-could-pose-profound-risk-of-harm-to-young-peoples-mental-health-surgeon-general-warns-db9eaaf8
02/08/2023,Opinion: AI Has Finally Become Transformative,"After a decade’s worth of innovation, new models can change the world the way the internet did.",Wall Street Journal,USA,https://www.wsj.com/articles/ai-has-finally-become-transformative-humans-scale-language-model-6a67e641
21/02/2023,Microsoft Softens Limits on Bing After User Requests,AI chatbot’s disturbing replies prompted caps four days ago,Wall Street Journal,USA,https://www.wsj.com/articles/microsoft-softens-limits-on-bing-after-user-requests-1e2acb1b
04/08/2023,Why ChatGPT Is Getting Dumber at Basic Math,"AI chatbots have stoked fears that they could spin out of control, but they also suffer from a type of deterioration called ‘drift’",Wall Street Journal,USA,https://www.wsj.com/articles/chatgpt-openai-math-artificial-intelligence-8aba83f0
31/07/2023,Hollywood’s Fight: How Much AI Is Too Much?,"Studios see potential in the technology, while actors, writers and other industry workers fear the worst",Wall Street Journal,USA,https://www.wsj.com/business/media/at-the-core-of-hollywoods-ai-fight-how-far-is-too-far-f57630df
