date,title,header,medium,country,link
27/10/2023,Amazon steigert Umsatz und Gewinn deutlich,Amazons Cloud-Sparte AWS ist seit Jahren ein großer Gewinnbringer - doch zuletzt wuchs sie nicht so schnell wie das Geschäft beim Rivalen Microsoft. Jetzt konnte Amazon die Anleger mit deutlich besserer Profitabilität überzeugen.,Die Welt,Germany,https://www.welt.de/newsticker/dpa_nt/infoline_nt/wirtschaft_nt/article248223726/Amazon-steigert-Umsatz-und-Gewinn-deutlich.html
27/10/2023,„Stundenlang durch Männer swipen“? So sollen Sie in Zukunft sofort das perfekte Match finden,"Ewige Suche, langweilige Chats, Dick Pics: Tinder und Bumble können schnell zur Frust-Falle werden. Nun versprechen die Online-Dienste, die Date-Auswahl effizienter zu gestalten. Der „persönliche Kuppler“ soll eine neue Ära des Datings einleiten.",Die Welt,Germany,https://www.welt.de/wirtschaft/plus248005014/Tinder-Bumble-und-Co-So-sollen-Sie-in-Zukunft-sofort-das-perfekte-Match-finden.html
27/10/2023,Facebook-Konzern Meta macht sich Sorgen um die Konjunktur,"Das Werbegeschäft des Facebook-Konzerns Meta lief im vergangenen Quartal auf Hochtouren. Doch nun gibt es Zeichen einer Abkühlung. Sie habe mit dem Gaza-Krieg begonnen, heißt es.",Die Welt,Germany,https://www.welt.de/newsticker/dpa_nt/infoline_nt/wirtschaft_nt/article248203840/Facebook-Konzern-Meta-macht-sich-Sorgen-um-die-Konjunktur.html
26/10/2023,Krise oder Chance - Buchbranche diskutiert über KI,Künstliche Intelligenz ist ein zentrales Thema auf der Buchmesse. Bedroht der Algorithmus die Branche? Schreibt die KI lesenswerte Romane? Und was ist mit dem Urheberrecht?,Die Welt,Germany,https://www.welt.de/newsticker/dpa_nt/infoline_nt/netzwelt/article248095514/Krise-oder-Chance-Buchbranche-diskutiert-ueber-KI.html
25/10/2023,Googles neue KI ist da – das kann sie jetzt schon besser als ChatGPT,"Mit Bard bringt Google seinen eigenen Chatbot auf den Markt. Der Assistent kann sogar Reisen organisieren und mit anderen Apps kommunizieren. Und schon jetzt ist absehbar, dass Bard auch Docs, Drive und Gmail grundlegend verändern wird.",Die Welt,Germany,https://www.welt.de/wirtschaft/article247559612/KI-Was-Googles-Chatbot-Bard-schon-jetzt-besser-kann-als-ChatGPT.html
25/10/2023,„Ich war ein Niemand“,"Microsoft-Chef Satya Nadella spricht mit Axel-Springer-Chef Mathias Döpfner über Gefahren durch KI, die Rolle Chinas, eigene Fehler und seinen speziellen Start bei Microsoft. Und er erzählt, wie ihn das Schicksal seines Sohnes als Führungskraft und Mensch grundlegend verändert hat.",Die Welt,Germany,https://www.welt.de/wirtschaft/plus248117642/Microsoft-CEO-Satya-Nadella-Ich-war-ein-Niemand.html
25/10/2023,Googles neue KI ist da – das kann sie jetzt schon besser als Chat-GPT,"Mit Bard bringt Google seinen eigenen Chatbot auf den Markt. Der Assistent kann sogar Reisen organisieren und mit anderen Apps kommunizieren. Und schon jetzt ist absehbar, dass Bard auch Docs, Drive und Gmail grundlegend verändern wird.",Die Welt,Germany,https://www.welt.de/wirtschaft/article247559612/KI-Das-kann-Googles-Chatbot-Bard-jetzt-schon-besser-als-Chat-GPT.html
24/10/2023,"Gestern bekamen sie 15.000 Dollar pro Monat, heute fürchten sie das Personalgespräch","Es sind raue Zeiten im Silicon Valley. Die Technologiekonzerne forcieren die Entlassungswelle und bauen Jobs im großen Stil ab. Vor allem die Software-Ingenieure trifft ein Trend, den sie selbst geschaffen haben.",Die Welt,Germany,https://www.welt.de/wirtschaft/plus248073410/Entlassungen-im-Silicon-Valley-Gestern-bekamen-sie-15-000-Dollar-pro-Monat-heute-fuerchten-sie-das-Personalgespraech.html
24/10/2023,Musikverlage verklagen KI-Firma wegen Songtexten,Angelernt wurden die KI-Chatbots mit einer Menge Text. Darunter auch Texte von Liedern. Jetzt klagen Musikverlage wegen Urheberrechtsverletzung.,Die Welt,Germany,https://www.welt.de/newsticker/dpa_nt/infoline_nt/netzwelt/article248081600/Musikverlage-verklagen-KI-Firma-wegen-Songtexten.html
24/10/2023,Start Medientage: Journalismus ein Jahr nach ChatGPT,Zwischen künstlicher und publizistischer Intelligenz: Die deutsche Medienbranche trifft sich auf den Münchner Medientagen. KI und die Zukunft der Medien ziehen sich drei Tage lang durch das Programm.,Die Welt,Germany,https://www.welt.de/regionales/bayern/article248184054/Start-Medientage-Journalismus-ein-Jahr-nach-ChatGPT.html
23/10/2023,USA verschärfen Chip-Einschränkungen für China,Chips von Nvidia werden weltweit zum Anlernen von KI-Software wie ChatGPT verwendet. Für China entwickelte der Konzern eine abgespeckte Version seiner Systeme. Nun kommen härtere Regeln aus Washington.,Die Welt,Germany,https://www.welt.de/newsticker/dpa_nt/infoline_nt/wirtschaft_nt/article248057538/USA-verschaerfen-Chip-Einschraenkungen-fuer-China.html
20/10/2023,Thüringer Datenschützer warnt vor Hausaufgaben mit KI,Künstliche Intelligenz mit Chatbots wie ChatGPT sorgen seit einiger Zeit für Furore. Im Unterricht sieht Thüringens oberster Datenschützer ihren Einsatz aber kritisch. Zugleich beobachtet er aber einen Willen zur Kooperation bei der US-Firma OpenAI.,Die Welt,Germany,https://www.welt.de/regionales/thueringen/article248076958/Thueringer-Datenschuetzer-warnt-vor-Hausaufgaben-mit-KI.html
18/10/2023,Buchbranche fordert stärkere Regulierung von KI,"Anlässlich der Frankfurter Buchmesse haben europäische Autoren-, Verlags- und Buchhandelsverbände eine stärkere Regulierung von Künstlicher Intelligenz (KI) verlangt.",Die Welt,Germany,https://www.welt.de/regionales/hessen/article248072582/Buchbranche-fordert-staerkere-Regulierung-von-KI.html
18/10/2023,"„Die ganze Welt schaut auf Sie, Satya Nadella“",Microsoft-Chef Satya Nadella wird mit dem Axel Springer Award geehrt. Axel-Springer-CEO Mathias Döpfner und Digitalminister Volker Wissing betonen bei der besonderen Verleihung den Wandel Microsofts und den innovativen Geist Nadellas. Überrascht wird er von einem Star aus seiner Heimat.,Die Welt,Germany,https://www.welt.de/wirtschaft/article248058602/Axel-Springer-Award-Die-ganze-Welt-schaut-auf-Sie-Satya-Nadella.html
18/10/2023,"KI oder Arzt, es kommt in beiden Fällen auf das Vertrauen an",Künstlicher Intelligenz wird in Krankenhäusern und von Ärzten schon eingesetzt. Bei Hautkrebs-Untersuchungen zeigen sich echte Vorteile. Fachleute erwarten sich weitere Fortschritte. Aber es gibt erheblich Hürden und Tücken.,Die Welt,Germany,https://www.welt.de/wissenschaft/article247971908/KI-oder-Arzt-Es-kommt-in-beiden-Faellen-auf-das-Vertrauen-an.html
17/10/2023,Der perfekte Verkäufer? So raffiniert will Amazon seine Suche verändern,"Amazon will das Shopping-Erlebnis auf seiner Plattform komplett überarbeiten. Der Online-Händler setzt dafür voll auf künstliche Intelligenz, wie bisher geheime Dokumente zeigen. Mit der Methode „Einkaufsagent“ wendet Amazon seinen größten Schatz dabei gegen die Kunden.",Die Welt,Germany,https://www.welt.de/wirtschaft/plus247914600/Amazon-Der-perfekte-Verkaeufer-So-raffiniert-veraendert-sich-die-Produktsuche.html
17/10/2023,„Der derzeit visionärste CEO“ – Microsoft-Chef Nadella bekommt Axel Springer Award,Satya Nadella hat Microsoft neu ausgerichtet. Mit seinem Fokus auf künstliche Intelligenz geht er die wohl größte Wette des Konzerns ein. Nun wird der Tech-Visionär am Dienstag dafür mit dem Axel Springer Award ausgezeichnet. WELT überträgt die spannendsten Momente live.,Die Welt,Germany,https://www.welt.de/wirtschaft/article248022946/Microsoft-Der-derzeit-visionaerste-CEO-Satya-Nadella-bekommt-Axel-Springer-Award.html
17/10/2023,500.000 Euro Gehalt? So gelingt der Einstieg als Chief AI Officer,Der Vormarsch der künstlichen Intelligenz bringt ein topbezahltes Jobprofil hervor: den Chief AI Officer. Doch was muss man dafür alles können? Welche Aufgaben erfüllt er? Wie wird man CAIO? Und was verdient man? Die wichtigsten Fragen mit Beispielen aus der Praxis beantwortet.,Die Welt,Germany,https://www.welt.de/wirtschaft/gruenderszene/plus247774470/KI-Job-500-000-Euro-Gehalt-So-gelingt-der-Einstieg-als-Chief-AI-Officer.html
12/10/2023,Künstliche Intelligenz entwickelt Wirkstoffe für neue Medikamente,"Professor Gisbert Schneider von der ETH Zürich ist ein Pionier der Nutzung von Künstlicher Intelligenz zum Design von neuen Medikamenten. KI beschleunigt die Entwicklung pharmazeutischer Wirkstoffe deutlich und hilft zudem, unerwünschte Nebenwirkungen möglichst zu vermeiden.",Die Welt,Germany,https://www.welt.de/wissenschaft/plus247760802/KI-Kuenstliche-Intelligenz-entwickelt-Wirkstoffe-fuer-neue-Medikamente.html
