date,title,header,medium,country,link
28/08/2023,"""KI revolutioniert das Verbrechen""","Künstliche Intelligenz beflügelt Kriminelle, Ermittler kommen oft nicht mit. Doch ein Staatsanwalt nutzt sie schon zur Verbrecherjagd. Er weiß auch, was KI nicht kann.",Die Zeit,Germany,https://www.zeit.de/gesellschaft/zeitgeschehen/2023-08/ki-strafverfolgung-kriminalitaet-kinderpornografie-ransomware
17/08/2023,"Vertraue keiner Bewertung, die ChatGPT zusammengefasst hat","Das Internet strotzt vor Bewertungen. Viele davon sind fake. Damit sie niemand mehr lesen muss, will sie Amazon mit KI zusammenfassen. Was kann da schon schiefgehen.",Die Zeit,Germany,https://www.zeit.de/digital/internet/2023-08/online-bewertungen-zusammenfassung-amazon-ki
16/08/2023,Wie man das Krabbeln verhindert,Öffentliche Daten im Netz sind Futter für KI-Anwendungen wie ChatGPT. Die Betreiber von Websites können den Zugriff von OpenAI künftig einschränken. Aber ob das reicht?,Die Zeit,Germany,https://www.zeit.de/digital/datenschutz/2023-08/ki-datenschutz-trainingsdaten-zugriff-chatgpt
04/08/2023,"Wenn Lehrer KI ignorieren, ist das ein Fehler",Künstliche Intelligenz entlastet Lehrkräfte. Sie könnte das Bildungswesen stärker verändern als alle anderen Innovationen seit Einführung der Schulpflicht.,Die Zeit,Germany,https://www.zeit.de/2023/33/kuenstliche-intelligenz-schule-unterricht-lehrer-fortbildungen
28/07/2023,"""Eine KI sollte keine politischen Ratschläge erteilen.""","Künstliche Intelligenzen können immer mehr. Müssen wir uns deshalb fürchten? Die Informatikerin Katharina Zweig erforscht, wie KI die Gesellschaft verändert.",Die Zeit,Germany,https://www.zeit.de/2023/32/katharina-zweig-ki-vertrauen-aufgaben
21/07/2023,US-Techunternehmen sagen Kennzeichnung KI-generierter Inhalte zu,"Unternehmen entwickeln KI immer weiter, auch die Sorge vor Falschinformationen wächst: Nun haben Amazon, Google, Meta und Microsoft Schutzmaßnahmen zugestimmt.",Die Zeit,Germany,https://www.zeit.de/digital/2023-07/kuenstliche-intelligenz-us-unternehmen-ki-kennzeichnung
13/07/2023,Googles Chatbot kommt nach Europa,Der Suchmaschinenkonzern hat seinen ChatGPT-Konkurrenten nun auch für die EU freigegeben. Mögliche Halluzinationen der KI bügelt Google mit einer kreativen Begründung ab.,Die Zeit,Germany,https://www.zeit.de/digital/internet/2023-07/bard-google-chatbot-ki-deutschland
05/07/2023,Da könnte ja jeder coden,Stack Overflow ist ein frei zugänglicher Wissensschatz für Software-Entwickler. Dann kam ChatGPT. Und nun rebellieren die Moderatoren gegen die KI-Regeln.,Die Zeit,Germany,https://www.zeit.de/digital/internet/2023-07/stack-overflow-software-entwicklung-chatgpt-ki
03/07/2023,Twitter am Limit,"Elon Musk beschränkt, wer Tweets lesen darf – um zu verhindern, dass damit künstliche Intelligenzen gefüttert werden. Der Streit um KI-Trainingsdaten verändert das Netz.",Die Zeit,Germany,https://www.zeit.de/digital/2023-07/twitter-ki-trainingsdaten-zugang-elon-musk
30/06/2023,Deshalb sehen Sie dieses Reel,Wer bekommt welche Inhalte bei Instagram und Facebook angezeigt und warum? Das will Meta besser erklären und gibt Einblick in seine Algorithmen. Ein bisschen.,Die Zeit,Germany,https://www.zeit.de/digital/internet/2023-06/meta-algorithmen-veroeffentlichung-instagram-facebook
28/06/2023,"Aber prompto, bitte!","Jede KI braucht jemanden, der sie perfekt einsetzen kann. Prompt Engineer ist der Beruf der Stunde, heiß gesucht und gut bezahlt.",Die Zeit,Germany,https://www.zeit.de/digital/2023-06/prompt-engineer-ki-anweisungen
